architecture_smell,Add Attribute Modifier,Add Class Modifier,Add Method Annotation,Add Parameter,Add Parameter Modifier,Add Thrown Exception Type,Add Variable Modifier,Change Attribute Access Modifier,Change Attribute Type,Change Class Access Modifier,Change Method Access Modifier,Change Parameter Type,Change Return Type,Change Thrown Exception Type,Change Type Declaration Kind,Change Variable Type,Encapsulate Attribute,Extract And Move Method,Extract Attribute,Extract Class,Extract Interface,Extract Method,Extract Subclass,Extract Superclass,Extract Variable,Inline Method,Inline Variable,Invert Condition,Merge Package,Move And Inline Method,Move And Rename Attribute,Move And Rename Class,Move Attribute,Move Class,Move Code,Move Method,Move Package,Move Source Folder,Parameterize Variable,Pull Up Attribute,Pull Up Method,Push Down Attribute,Push Down Method,Remove Attribute Modifier,Remove Class Modifier,Remove Method Modifier,Remove Parameter,Remove Parameter Modifier,Remove Thrown Exception Type,Rename Attribute,Rename Class,Rename Method,Rename Package,Rename Parameter,Rename Variable,Replace Attribute With Variable,Replace Variable With Attribute,Split Parameter
Cyclic Dependency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0
Excessive Package Coupling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,4.0,4.0,7.0,16.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,17.0,0.0,15.0,0.0,0.0,20.0,1.0,19.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,12.0,4.0,2.0,6.0,3.0,5.0,1.0,6.0,19.0,16.0,0.0,12.0
Hub-like Dependency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,2.5,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,5.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,7.5,7.5,0.0,5.0
Large Component,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,1.5,1.5,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,1.5,0.0,3.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,3.0,0.0,1.5,0.0,1.5,1.5,1.5,0.0,0.0
