repository,version,commit,java_files,packages,package_edges,cyclic_packages,max_fan_in,max_fan_out,unstable_dependencies,hub_like_packages,large_packages,median_package_size
camel,after,9c3a4e70bdc12b91709138fc3deddf50860052cb,102,10,79,5,9,16,0,0,2,9.0
camel,before,90043f9c89f67524451edf1e44783785179912dd,102,10,79,5,9,16,0,0,2,9.0
camel,after,3f90f9286e6d5eb4d344334c9690e3790a4fb544,102,13,88,5,11,12,0,0,4,7.0
camel,before,5f875a33b20c3f221e747f332e93d20a82676f76,102,10,79,5,9,16,0,0,2,9.0
camel,after,3e6804a397a9045eb296006a7089db13639d7f2d,108,11,90,5,9,16,0,1,3,8.0
camel,before,8b0ae5afec7cefc15191e06b91d4cc38907c634f,121,11,106,5,11,16,0,0,2,10.0
camel,after,c58bccbd9df2b643661948f4dc12d3c538e69305,124,11,108,5,11,16,0,2,2,10.0
camel,before,c58bccbd9df2b643661948f4dc12d3c538e69305,124,11,108,5,11,16,0,2,2,10.0
camel,after,fbf682983abf08b58b2892d9d01c612bb6ee2f78,121,11,107,5,11,16,0,2,2,10.0
camel,before,fbf682983abf08b58b2892d9d01c612bb6ee2f78,121,11,107,5,11,16,0,2,2,10.0
camel,after,0424392709e1a8c0f6674e8621db9874c0e395de,121,11,107,5,11,16,0,2,2,10.0
camel,before,d4600ca8cb72ab71eec13a9325f6f290cf60a9c8,119,11,107,5,11,16,0,2,2,10.0
camel,after,d4b2ebb217926da4981f3b784ac3f996b970c4ed,119,11,107,5,11,16,0,2,2,10.0
camel,before,98e300a1d811692175660ac7530cc0e2a4337a88,121,11,107,5,11,16,0,2,2,10.0
camel,after,7173ec91ea19aa42215d42b089bdd87e847f9d6e,121,11,107,5,11,16,0,2,2,10.0
camel,before,27102fc06acfdacef219c79f7b9dd89fe29a08bb,138,14,133,5,13,20,0,2,2,11.0
camel,after,6da8eb176f0a3150b80bf3e1a8982a7a62e5c302,138,15,142,5,14,16,0,2,4,8.0
camel,before,278a2a3dbedfb7d57a77ddedda40027bacd9cc76,145,16,152,5,15,16,0,2,4,8.0
