architecture_smell,Add Attribute Modifier,Add Class Modifier,Add Method Annotation,Add Parameter,Add Parameter Modifier,Add Thrown Exception Type,Add Variable Modifier,Change Attribute Access Modifier,Change Attribute Type,Change Class Access Modifier,Change Method Access Modifier,Change Parameter Type,Change Return Type,Change Thrown Exception Type,Change Type Declaration Kind,Change Variable Type,Encapsulate Attribute,Extract And Move Method,Extract Attribute,Extract Class,Extract Interface,Extract Method,Extract Subclass,Extract Superclass,Extract Variable,Inline Method,Inline Variable,Invert Condition,Merge Package,Move And Inline Method,Move And Rename Attribute,Move And Rename Class,Move Attribute,Move Class,Move Code,Move Method,Move Package,Move Source Folder,Parameterize Variable,Pull Up Attribute,Pull Up Method,Push Down Attribute,Push Down Method,Remove Attribute Modifier,Remove Class Modifier,Remove Method Modifier,Remove Parameter,Remove Parameter Modifier,Remove Thrown Exception Type,Rename Attribute,Rename Class,Rename Method,Rename Package,Rename Parameter,Rename Variable,Replace Attribute With Variable,Replace Variable With Attribute,Split Parameter
Cyclic Dependency,3,1,2,1,1,2,1,1,12,1,3,11,9,2,1,10,1,1,0,1,2,6,1,2,5,1,6,3,1,1,1,4,2,7,1,3,1,2,2,2,3,1,1,2,1,1,3,2,0,5,5,13,1,7,11,3,1,1
Excessive Package Coupling,3,1,2,1,1,2,1,1,13,1,4,11,9,2,1,11,2,1,1,1,2,7,1,2,5,2,6,3,1,1,1,5,2,8,1,4,1,2,2,2,3,1,1,2,1,2,3,2,1,6,6,15,1,8,12,3,1,1
Hub-like Dependency,2,0,1,0,0,0,0,1,7,1,3,5,4,2,0,7,0,0,0,0,1,2,0,1,4,1,4,2,1,1,0,2,1,4,0,3,0,0,0,2,1,0,0,1,0,0,2,2,1,3,2,8,0,2,6,2,0,1
Large Component,3,1,1,1,1,1,1,1,11,1,3,10,8,2,1,9,1,1,0,0,2,4,1,2,4,1,6,3,1,1,1,4,1,7,0,3,1,2,0,2,3,1,1,1,1,0,2,2,1,5,5,13,1,7,8,3,0,1
