architecture_smell,Add Attribute Modifier,Add Class Modifier,Add Method Annotation,Add Parameter,Add Parameter Modifier,Add Thrown Exception Type,Add Variable Modifier,Change Attribute Access Modifier,Change Attribute Type,Change Class Access Modifier,Change Method Access Modifier,Change Parameter Type,Change Return Type,Change Thrown Exception Type,Change Type Declaration Kind,Change Variable Type,Encapsulate Attribute,Extract And Move Method,Extract Attribute,Extract Class,Extract Interface,Extract Method,Extract Subclass,Extract Superclass,Extract Variable,Inline Method,Inline Variable,Invert Condition,Merge Package,Move And Inline Method,Move And Rename Attribute,Move And Rename Class,Move Attribute,Move Class,Move Code,Move Method,Move Package,Move Source Folder,Parameterize Variable,Pull Up Attribute,Pull Up Method,Push Down Attribute,Push Down Method,Remove Attribute Modifier,Remove Class Modifier,Remove Method Modifier,Remove Parameter,Remove Parameter Modifier,Remove Thrown Exception Type,Rename Attribute,Rename Class,Rename Method,Rename Package,Rename Parameter,Rename Variable,Replace Attribute With Variable,Replace Variable With Attribute,Split Parameter
Cyclic Dependency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
Excessive Package Coupling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01762114537444934,0.039647577092511016,0.01762114537444934,0.01762114537444934,0.030837004405286344,0.07048458149779736,0.01762114537444934,0.0,0.013215859030837005,0.0,0.0,0.004405286343612335,0.0,0.0,0.01762114537444934,0.0,0.004405286343612335,0.0,0.004405286343612335,0.07488986784140969,0.0,0.06607929515418502,0.0,0.0,0.0881057268722467,0.004405286343612335,0.08370044052863436,0.0,0.022026431718061675,0.0,0.0,0.0,0.004405286343612335,0.004405286343612335,0.0,0.0,0.01762114537444934,0.0,0.0,0.05286343612334802,0.01762114537444934,0.00881057268722467,0.02643171806167401,0.013215859030837005,0.022026431718061675,0.004405286343612335,0.02643171806167401,0.08370044052863436,0.07048458149779736,0.0,0.05286343612334802
Hub-like Dependency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.03333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333,0.1,0.1,0.0,0.06666666666666667
Large Component,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.08333333333333333,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.0,0.08333333333333333,0.0,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0
